Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,43.8,47.3,3.5,21.3,30.2,26.8,44.5,24.3,37.8,0.6,22.7,38.2
2,19.8,12.8,24.5,46.1,9.0,7.8,0.6,30.4,2.4,20.7,38.5,29.4
3,38.2,1.1,16.4,19.6,22.0,14.8,2.4,3.1,29.0,22.4,27.5,41.3
4,9.5,11.6,26.7,15.1,39.5,6.0,49.5,32.5,15.6,5.3,2.1,49.7
5,19.9,7.0,36.4,15.1,33.9,4.0,6.7,31.3,7.9,34.1,43.8,29.9
6,11.9,30.2,25.5,5.4,17.6,46.9,41.3,18.4,47.1,11.8,1.1,5.1
7,48.1,7.4,17.1,25.8,21.2,9.1,15.5,9.7,4.2,20.3,3.0,34.0
8,15.6,23.8,48.0,29.8,40.4,8.5,45.2,27.0,44.5,38.6,8.9,9.8
9,15.3,47.0,25.6,41.7,27.0,7.8,36.5,32.3,26.2,48.7,33.7,14.1
10,11.2,11.2,17.5,44.2,21.8,5.0,32.6,16.4,24.2,6.2,34.5,18.1
11,39.2,21.7,11.3,32.3,9.2,34.5,38.0,6.5,33.3,4.6,39.2,30.4
12,15.0,8.2,47.4,49.4,4.3,35.7,22.5,19.3,26.2,9.2,45.2,13.3
13,7.4,29.9,17.7,36.8,18.4,18.6,46.5,2.7,47.6,32.8,42.8,24.1
14,3.8,32.1,43.8,16.6,37.6,30.0,33.9,24.2,36.3,16.6,3.3,19.9
15,11.9,10.3,11.7,12.6,23.9,13.1,27.1,43.0,10.8,3.6,44.8,38.3
16,16.3,32.0,31.5,49.8,25.5,12.0,22.3,9.2,12.0,12.6,31.5,10.0
17,15.2,10.7,48.6,39.9,34.5,26.2,47.1,20.8,17.9,26.5,32.0,2.7
18,13.1,39.5,6.6,2.0,42.5,49.1,24.1,30.3,30.2,39.4,7.6,44.3
19,3.6,10.0,45.9,30.5,3.9,37.9,15.0,24.4,40.1,29.5,15.2,1.3
20,32.0,2.2,45.2,7.4,32.8,9.0,8.1,16.8,7.3,35.2,35.6,26.3
21,27.3,30.1,1.6,14.2,9.5,36.4,42.1,13.1,3.7,12.1,44.0,19.2
22,45.5,18.0,0.9,18.4,12.4,26.0,44.8,13.4,40.4,50.0,19.4,16.8
23,2.8,30.0,48.2,19.1,14.9,42.8,18.2,36.4,14.9,44.3,41.3,17.0
24,13.2,27.8,33.7,8.3,46.9,13.9,38.0,41.6,32.7,23.6,40.2,39.7
25,42.5,43.1,21.0,27.1,9.1,11.7,20.0,48.2,41.6,3.0,21.3,36.6
26,19.3,16.2,27.9,40.1,6.9,19.7,19.2,42.1,36.6,3.1,23.6,49.5
27,12.2,13.2,10.6,44.8,4.8,36.5,19.1,37.3,26.9,32.5,43.0,47.7
28,27.2,12.2,23.1,25.1,11.6,6.5,16.7,47.9,49.1,28.3,23.1,13.2
29,6.2,,9.0,34.8,34.6,0.9,14.5,35.6,28.2,38.1,16.0,42.5
30,20.2,,14.8,42.1,12.8,30.4,18.0,15.2,49.3,46.3,6.1,15.7
31,16.3,,30.4,,26.5,,28.2,36.3,,45.8,,44.3
