Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,30.6,21.6,43.8,43.6,41.9,4.2,14.7,44.3,32.0,37.0,32.0,25.6
2,35.5,43.3,31.1,37.8,0.7,0.3,7.7,43.3,33.5,27.3,42.0,9.9
3,31.1,34.6,7.9,22.2,28.7,47.9,30.5,1.5,41.4,46.5,33.9,32.6
4,42.8,27.3,7.5,29.0,15.8,48.2,50.0,2.5,6.3,26.9,4.4,41.3
5,25.4,31.0,39.4,48.1,47.0,44.7,9.3,42.7,13.3,6.4,41.0,15.7
6,1.6,20.7,21.2,36.4,13.6,20.1,1.2,37.5,30.8,43.3,14.4,1.7
7,30.7,35.8,17.2,37.5,39.7,19.4,16.4,25.4,30.5,47.5,3.2,30.8
8,17.7,23.9,3.2,40.6,17.4,3.0,34.0,39.6,11.9,23.3,45.8,35.3
9,30.0,34.1,30.8,23.3,24.8,1.9,13.4,38.8,2.0,36.7,37.1,18.6
10,6.5,11.6,11.7,40.4,30.6,41.9,43.6,17.2,23.5,5.9,47.3,1.1
11,19.0,35.2,30.4,37.6,12.6,0.2,11.4,30.5,42.9,48.2,22.3,34.1
12,44.3,6.1,1.5,17.7,11.2,32.2,27.2,2.3,47.9,21.8,34.1,15.3
13,11.2,9.0,12.5,29.1,34.2,19.9,12.9,25.9,29.1,46.7,36.3,11.8
14,39.1,10.8,35.9,0.6,32.3,9.7,27.7,46.9,2.6,9.1,47.9,14.0
15,32.8,20.5,41.4,25.8,5.8,1.6,26.7,20.7,7.3,11.6,33.1,26.6
16,5.6,19.0,32.5,11.1,49.9,35.7,47.3,31.4,27.0,48.1,37.2,38.3
17,46.1,5.2,48.6,40.7,25.1,46.5,29.1,47.2,1.3,6.6,45.7,31.1
18,20.9,13.6,15.4,39.5,5.4,36.1,31.1,16.1,44.2,16.0,47.3,17.2
19,48.2,19.2,44.1,47.5,21.5,8.7,39.0,27.6,19.2,21.4,3.6,26.3
20,46.7,38.0,10.1,25.0,46.7,11.0,20.1,6.4,39.5,35.8,1.5,42.8
21,23.3,39.1,9.7,7.6,34.1,12.7,32.9,31.2,18.9,15.3,1.8,20.8
22,40.7,11.1,45.2,17.0,47.1,8.1,33.9,46.6,36.0,35.8,40.0,13.4
23,2.9,23.5,2.5,18.7,16.4,33.2,6.0,9.0,18.7,22.0,19.3,46.2
24,31.7,36.5,4.4,21.3,48.5,46.5,29.3,27.3,0.8,24.2,41.6,11.7
25,47.9,20.8,48.8,18.2,24.4,19.4,27.3,16.8,29.0,33.5,32.2,35.7
26,18.9,47.8,38.8,36.8,48.7,21.4,33.7,46.5,0.8,48.4,4.0,18.7
27,0.3,40.8,33.5,42.2,48.3,41.9,26.1,48.2,32.2,43.4,39.8,3.5
28,14.3,48.1,27.5,16.4,25.9,21.2,23.4,15.8,41.2,3.7,27.5,23.9
29,15.7,,10.5,1.5,24.1,39.6,21.0,7.4,27.3,33.3,47.1,26.4
30,5.1,,26.9,32.9,3.9,4.1,17.9,31.9,9.1,28.0,11.1,47.1
31,42.5,,43.4,,33.4,,17.8,4.5,,24.6,,34.7
