Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,46.6,27.7,46.7,48.7,28.8,22.3,24.5,12.5,36.5,41.3,35.1,26.0
2,7.4,4.4,8.9,12.4,2.6,47.0,3.9,45.2,24.7,7.7,39.2,22.0
3,20.2,27.9,17.7,37.2,35.7,2.4,20.2,27.2,42.9,33.8,15.5,8.7
4,13.9,14.0,14.5,3.2,35.7,19.4,7.1,48.3,11.7,45.5,11.2,22.4
5,4.9,39.3,2.4,42.0,29.7,33.8,49.5,40.9,22.5,28.2,25.0,34.7
6,16.3,39.2,25.4,22.8,39.8,18.1,27.7,10.5,6.9,17.6,1.2,30.3
7,5.1,41.4,36.0,11.3,46.6,40.4,29.4,47.6,6.2,36.9,27.9,23.4
8,19.3,25.1,11.8,17.5,10.4,41.9,25.8,46.1,17.6,36.1,10.8,19.4
9,32.2,28.2,5.1,35.0,5.9,4.3,2.4,37.5,41.3,36.9,47.6,24.1
10,32.2,22.5,14.0,36.2,0.9,30.9,44.6,16.1,11.8,43.9,32.1,24.2
11,36.6,18.4,20.6,29.3,4.3,2.3,4.4,38.9,46.0,35.6,7.0,10.8
12,45.1,49.8,5.0,10.0,4.3,34.6,44.0,20.7,36.8,6.0,35.9,16.2
13,5.8,10.1,38.4,47.2,47.3,12.1,13.8,20.4,17.5,43.8,4.1,47.8
14,15.7,29.5,10.1,23.4,15.9,23.9,24.0,29.8,27.5,46.9,14.8,2.7
15,3.1,41.6,46.7,45.2,9.9,29.3,23.3,44.7,28.0,27.4,25.5,8.6
16,46.6,27.9,16.6,20.7,0.6,38.5,40.6,14.5,16.2,7.0,14.6,16.8
17,33.6,35.5,21.6,46.0,13.0,24.2,16.8,41.0,19.3,8.3,13.5,44.2
18,26.4,10.9,39.3,7.7,27.9,34.6,16.2,31.6,30.2,21.3,24.9,12.7
19,17.9,7.7,8.8,41.8,24.2,29.1,23.0,9.9,13.7,11.2,37.4,45.5
20,14.0,45.4,21.4,33.9,10.5,15.4,21.3,17.8,30.9,41.0,47.7,41.7
21,9.5,33.6,27.0,49.0,36.9,0.7,40.7,8.7,7.8,49.8,8.7,49.2
22,35.9,24.1,45.9,12.4,30.2,18.8,44.8,14.7,43.1,24.0,28.1,0.8
23,6.5,17.4,37.7,37.3,26.5,4.4,29.7,16.0,14.6,11.0,46.1,37.1
24,32.2,24.7,8.4,22.0,27.3,44.1,9.7,45.4,40.5,16.8,21.0,38.7
25,24.8,41.8,34.1,46.2,44.7,38.8,31.6,42.5,6.2,44.2,12.1,35.6
26,33.3,12.8,0.4,49.6,42.4,22.2,12.6,26.2,46.4,33.0,43.0,27.3
27,16.2,38.7,47.7,15.2,12.2,27.3,35.2,23.9,48.4,41.0,7.7,46.2
28,16.0,14.0,7.4,44.7,21.1,8.3,49.8,30.0,6.6,48.6,2.6,39.7
29,1.1,13.9,36.2,29.1,34.9,10.2,2.1,6.4,11.6,47.8,2.1,45.4
30,40.3,,44.7,38.5,41.3,14.7,25.1,36.3,48.1,17.0,12.5,13.7
31,35.1,,37.2,,31.7,,48.3,29.2,,25.3,,26.5
